county_fips,mal_rate_increase_pct,covered_base_acres
21211,10.0065493188434,155230.83
21213,10.015668933824,509792.58
21215,10.0052067399387,43051.43
21217,10.0082748376392,70141.63
21219,10.014388280531,544142.4
21221,10.013892023892,214189.05
21223,10.0139682879794,21934.9
21227,10.0132875150391,309941.7
21229,10.0064364525257,35836.2
21233,10.0029114109415,387740.66
23003,10.0028270467133,60420.65
23021,10,5723
24009,10.0125685616484,20649.117
24011,10.0039946392562,812775.27
24013,10.004836515628,172870.071
24015,10.0066327490563,184915.936
24019,10.0085301910812,669572.41
24021,10.0061218757152,148772.05
24023,10,13440.05
24025,10.0032920983639,104824.89569
24029,10.0060864148253,924254.14
24035,10.0066434692409,1093994.95
24037,10.0064910558056,87266.1932
24039,10.0111451295647,147916.45
24041,10.0040171588964,667722.43
24043,10.0075655836718,115236
24045,10.0055476816187,427259.09
24047,10.0029358338015,580080.18
26001,10.0096612544161,24795.6
26005,10.0017910415584,692989.95
26007,10.0108797897364,70372.61
26009,10.0046877040727,11209.24
26011,10.0061665564125,152148.45
26013,10,2107.7
26015,10.0027792143525,504668.81
26017,10.0011031302531,780880.95
26023,10.0014999096973,1251124.92
26025,10.0024799422661,1156838.06
26027,10.0009897927856,968483.62
26029,10.0015235724936,12978.05
26031,10.0058249552828,10538.45
26033,10.0163408804606,16543.16
26037,10.0037163307953,1020733.57
26041,10.0024175835721,15229.67
26043,10,6310.32
26045,10.0056384063449,716800.52
26047,10.0017896074366,6728.85
26049,10.0048565942347,288499.21
26051,10.0051386433822,50117.43
26055,10.0073204475759,35253.91
26057,10.002254394047,1223582.72
26059,10.002274973829,1112243.74
26061,10,4890.6
26063,10.0062933919413,1766575.72
26065,10.0054140346551,573317.83
26067,10.0028214543433,955372.61
26069,10.0051087572429,52520.64
26073,10.0038445808658,604110.43
26075,10.0023070702096,773288.82
26077,10.0017249925826,732066.8
26081,10.0027962804268,308884.9
26087,10.005564209187,285963.44
26089,10.0047312993916,14571.05
26091,10.0037510504546,1853054.84
26093,10.0071493024057,168987.9
26095,10,1223.3
26097,10.0039402392322,5287.75
26107,10.0022981235519,124279.48
26109,10.0000734535622,78163.67
26115,10.0051057465845,1018557.72
26117,10.0072111928018,576222.48
26119,10.0070552848905,16997.23
26121,10.0017364519187,113148.31
26123,10.0022824468908,95062.19
26129,10.0031878070308,89154.33
26131,10.0006623777076,1313.45
26133,10.0035227727366,40216.73
26137,10.0139588490579,5481.77
26141,10.0092926009023,49313.04
26145,10.002706137158,1209889.34
26147,10.0066752709572,313773.69
26149,10.00104720851,1124441.97
26151,10.0072516171952,819407.87
26155,10.0051832366607,970014.130000001
26157,10.0044603111124,1058287.03
26159,10.0007469164708,400817.51
26161,10.0037723870348,677040.87
27001,10.0183636439171,22145.18
27005,10.0111465591192,1503050.45
27007,10.0241258994138,138516.61
27009,10.0001020874351,779290.810000001
27011,10.0024906136375,1791447.43
27013,10.000122905358,3218588.73
27015,10.0002204634671,2602208.01
27019,10.0009365435252,395514.5725
27021,10.0000968683732,71013.89
27023,10.0011055130084,1216693.96
27025,10.0001863529388,191700.76
27027,10.0099327570438,3134563.26
27029,10.0153858276763,117679.22
27033,10.0001273525467,3104088.69
27035,10.0001431282266,110593.14
27037,10.0005868138966,1179481.27
27039,10.0001676651216,937515.2
27041,10.0019791813821,1098689.65
27043,10.0000920811152,1795097.72
27045,10.0001331990117,1260874.22
27047,10.0000600630202,3078566.47
27049,10.0001326295249,2124305.28
27051,10.0027876819749,2112243.13
27055,10.0003875451795,330987.99
27057,10.0024769962901,93633.81
27059,10.0001550333303,426334.13
27065,10.0004878209694,98826.01
27067,10.0007315231774,2489415.04
27069,10.0299381450698,1399967.63
27071,10.0220939769915,22016.24
27073,10.0009402128152,3218721.2395
27077,10.0252284102752,158700.61
27081,10.002791068196,989491.48
